arquivo_destino,qt_redirect_errado
sitemap-articles-100_urls_output.csv,0
sitemap-articles-101_urls_output.csv,0
sitemap-articles-102_urls_output.csv,0
sitemap-articles-103_urls_output.csv,0
sitemap-articles-104_urls_output.csv,0
sitemap-articles-105_urls_output.csv,0
sitemap-articles-106_urls_output.csv,0
sitemap-articles-107_urls_output.csv,0
sitemap-articles-108_urls_output.csv,0
sitemap-articles-109_urls_output.csv,0
sitemap-articles-110_urls_output.csv,0
sitemap-articles-111_urls_output.csv,0
sitemap-articles-112_urls_output.csv,1
sitemap-articles-113_urls_output.csv,0
sitemap-articles-114_urls_output.csv,0
sitemap-articles-115_urls_output.csv,0
sitemap-articles-116_urls_output.csv,7380
sitemap-articles-117_urls_output.csv,8390
sitemap-articles-118_urls_output.csv,4302
sitemap-articles-119_urls_output.csv,346
sitemap-articles-120_urls_output.csv,36
sitemap-articles-121_urls_output.csv,36
sitemap-articles-122_urls_output.csv,0
sitemap-articles-123_urls_output.csv,0
